Industrial Production (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/industrial-production-1755,FALSE
Initial Jobless Claims%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/initial-jobless-claims-294,FALSE
Average Hourly Earnings (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/average-hourly-earnings-8,FALSE
CB Consumer Confidence%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/cb-consumer-confidence-48,FALSE
Employment Cost Index (QoQ)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/employment-cost-index-331,FALSE
Industrial Production (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/industrial-production-161,FALSE
ISM Manufacturing PMI%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ism-manufacturing-pmi-173,FALSE
Markit Composite PMI%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/markit-composite-pmi-1492,FALSE
Core PCE Price Index (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-pce-price-index-905,FALSE
FOMC Meeting Minutes%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/fomc-meeting-minutes-108,TRUE
Goods Trade Balance%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/goods-trade-balance-1650,FALSE
Nonfarm Productivity (QoQ)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/nonfarm-productivity-228,FALSE
Business Inventories (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/business-inventories-29,FALSE
Core PCE Price Index (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-pce-price-index-61,FALSE
Durable Goods Orders (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,WHR,Null,Null,Null,Null,https://www.investing.com/economic-calendar/durable-goods-orders-86,FALSE
Existing Home Sales (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/existing-home-sales-891,FALSE
JOLTs Job Openings%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/jolts-job-openings-1057,FALSE
Participation Rate%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/participation-rate-1581,FALSE
Existing Home Sales%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/existing-home-sales-99,FALSE
Export Price Index (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/export-price-index-892,FALSE
Import Price Index (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/import-price-index-153,FALSE
Pending Home Sales (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/pending-home-sales-232,FALSE
Manufacturing PMI%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/manufacturing-pmi-829,FALSE
Personal Spending (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/personal-spending-235,FALSE
Unemployment Rate%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/unemployment-rate-300,FALSE
Building Permits (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/building-permits-885,FALSE
Core Retail Sales (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-retail-sales-63,FALSE
Nonfarm Payrolls%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/nonfarm-payrolls-227,FALSE
Unit Labor Costs (QoQ)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/unit-labor-costs-303,FALSE
Building Permits%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/building-permits-25,FALSE
GDP Price Index (QoQ)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/gdp-price-index-343,FALSE
PCE price index (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/pce-price-index-904,FALSE
PCE Price index (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/pce-price-index-906,FALSE
Current Account%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/current-account-81,FALSE
Factory Orders (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,WHR,Null,Null,Null,Null,https://www.investing.com/economic-calendar/factory-orders-100,FALSE
FOMC Statement%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/fomc-statement-398,TRUE
Housing Starts (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/housing-starts-898,FALSE
Housing Starts%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/housing-starts-151,FALSE
New Home Sales (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/new-home-sales-896,FALSE
New Home Sales%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,CX, BCC, WHR, HD,Null,https://www.investing.com/economic-calendar/new-home-sales-222,FALSE
PCE Deflator (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/pce-deflator-1771,FALSE
PCE Deflator (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/pce-deflator-1772,FALSE
Services PMI%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/services-pmi-1062,FALSE
Trade Balance%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/trade-balance-286,FALSE
Discount Rate%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/discount-rate-84,FALSE
Retail Sales (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,M,Null,Null,Null,Null,https://www.investing.com/economic-calendar/retail-sales-256,FALSE
Chicago PMI (%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/chicago-pmi-38,FALSE
Core CPI (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-cpi-736,FALSE
Core CPI (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-cpi-56,FALSE
Core PPI (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/core-ppi-62,FALSE
CPI (YoY)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/cpi-733,FALSE
GDP (QoQ)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/gdp-375,FALSE
PPI (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/ppi-238,FALSE
CPI (MoM)%,/ZN,/CL,/ZT,/NG,/GE,/ES,/ZQ,/RTY,/NQ,/RB,Null,Null,Null,Null,Null,https://www.investing.com/economic-calendar/cpi-69,FALSE
